,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,endroit,place
42,yeux,eyes
43,façon,way
44,écoute,listen
45,dont,whose
46,trouve,find
47,premier,first
48,première,first
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,suite,after
59,pardon,sorry
60,venez,come
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,droit,law
69,aimerais,would like to
70,aujourd'hui,today
71,mari,husband
72,cause,cause
73,enfin,finally
74,espère,hope
75,eau,water
76,attendez,Wait
77,parti,left
78,nouvelle,new
79,boulot,job
80,arrêter,Stop
81,dirait,would say
82,terre,Earth
83,compte,account
84,donne,given
85,loin,far
86,fin,end
87,croire,believe
88,chérie,sweetheart
89,gros,large
90,plutôt,rather
91,aura,will have
92,filles,girls
93,jouer,to play
